Date,Instrument,Song/Piece,Artist,Genre
10/14/20,Piano,Moonlight Sonata,Beethoven,Classical
10/14/20,Electric Guitar,867-5309,Tommy Tutone,Rock
10/14/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
10/14/20,Electric Guitar,crushcrushcrush,Paramore,Rock
10/14/20,Electric Guitar,Hungry Like the Wolf,Duran Duran,Rock
10/15/20,Piano,Moonlight Sonata,Beethoven,Classical
10/15/20,Piano,OG Stuff,Me,My Composition
10/15/20,Electric Guitar,Gimme All Your Lovin,ZZ Top,Rock
10/15/20,Electric Guitar,Smells Like Teen Spirit,Nirvana,Rock
10/15/20,Electric Guitar,Seven Nation Army,White Stripes,Rock
10/16/20,Piano,OG Stuff,Me,My Composition
10/16/20,Piano,Moonlight Sonata,Beethoven,Classical
10/17/20,Piano,Moonlight Sonata,Beethoven,Classical
10/17/20,Piano,OG Stuff,Me,My Composition
10/17/20,Electric Guitar,Eye of the Tiger,Survivor,Rock
